,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,7519.122064830087,17521.151499533935,2398.3678108066547,12165.6115051407,5771.678852417798,4997.7995521652765
1,7404.727589079448,17231.09367293676,2242.816315795325,11598.259524900637,5397.210937131368,4890.33159400167
2,7352.822833575636,17219.374571884764,2119.8587258593193,11100.11030379123,5185.0181586999715,4738.452321037563
3,7404.8062488966225,17460.408982055353,2043.4874306044314,10656.193262314024,5069.696656717864,4642.17651058817
4,7562.144456535191,18128.6796506221,2003.5581123784327,10507.115250599032,4924.045304176405,4642.674645344973
5,7862.580689638832,19540.212219269022,2007.0062560383672,10525.367766048825,4914.269247756602,4647.042004697079
6,8179.180307340879,22175.476340729834,2068.7003020231436,10732.708172786237,5024.31082691519,4696.382048931512
7,8505.848844737024,23873.76561175705,2172.6267893451586,10821.146921939728,5239.99031147522,5066.8165995508625
8,8760.437699347656,23979.602633843435,2254.2442247085423,10736.271079908109,5496.727750315583,5275.237696242936
9,8870.624495634656,23607.12147177745,2327.242537814802,10913.201763494159,5621.120241110131,5415.216810071085
10,8799.38495554271,23095.060570242287,2366.437638463632,11118.41130163569,5818.404838039582,5443.893900628638
11,8615.427521109086,22406.47067488049,2375.8263559473294,11294.55153237537,5806.21536005473,5339.494089825641
12,8378.579693947117,21706.185360594514,2365.5862708860077,11357.553764847236,5730.9307094051765,5277.404797871945
13,8200.860903706685,21110.511910455974,2355.250098380713,11314.656713427601,5616.448654584617,5123.957837192366
14,8035.504846459389,20647.378889705302,2344.4663614044252,11133.189703527085,5531.401468851752,5205.593868885403
15,8071.809437204467,20903.878873239828,2342.922964911886,11059.8966138695,5426.396897995533,5202.612658888816
16,8497.521467042763,22637.681060844858,2379.6518114029973,10969.206102649343,5677.426566602443,5219.828499240152
17,8964.993661730217,24660.803099097084,2580.1892090655974,11534.794475715915,6185.552549685249,5449.475301500673
18,8991.981963501687,24808.57244796186,2935.660505497629,13215.516661663409,7007.559110213459,5959.29283990283
19,8876.00437320945,24387.038103584906,3090.3543329832087,13654.683915819942,7257.248642580869,5960.279494190539
20,8680.343527199697,23548.888670818244,3063.5722428892827,13565.309115681617,7218.462667741319,5897.810884101202
21,8353.507258238515,21940.205280734892,2981.25200184545,13389.144350174498,6990.930919168143,5677.986562328736
22,7890.937931569692,20005.633335667044,2795.3401564026285,13070.624364770449,6504.6385223576945,5445.827557006998
23,7488.341945983536,18551.325517260746,2552.738229927174,12389.302193822248,6079.923044627441,5124.0218105819895
24,6556.296724837554,17056.111081249815,2284.6284985317457,10177.235219317237,5092.0969197356235,4397.209611956937
25,6469.071909487361,16793.71506163136,2109.2191331489757,9736.305227991203,4903.74389353736,4272.565510528801
26,6492.108759140138,16815.969293476894,2010.2292349606516,9388.393051794657,4632.961310203213,4145.715840817733
27,6596.736307649268,17079.194538380743,1963.1182569455784,9154.72609172269,4600.515411359381,4012.9467946467093
28,6831.157197801115,17796.911135524,1943.4274842008538,9145.386608782506,4483.498165369814,4037.198116569035
29,7244.772403888744,19406.04424786885,1968.4236687719817,9326.592755565409,4492.070965669676,4120.521752189016
30,7698.15159995994,22411.383445271556,2058.8864736010046,9728.394965491836,4646.80866270891,4321.4767184959555
