,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,315.44353507382834
8,2121.9268725327115
9,3572.3167348309325
10,4325.153625239091
11,5056.852546802094
12,5221.078304752902
13,5162.542391027861
14,3754.428466419947
15,1775.5893829928896
16,1.6259976034733423
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,262.73273211331735
32,916.0379485427408
33,1676.0232340517325
34,1845.300699037494
35,2579.7180341059284
36,2313.458688138741
37,1651.3369370746425
38,1136.4513144096177
39,740.5889093127066
40,20.278029659752683
41,20.278029659752683
42,22.0413365866877
43,22.0413365866877
44,22.0413365866877
45,8.81653463467508
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,266.6584374350184
56,929.7252231375307
57,1701.0660723623153
58,1872.872850843938
59,2618.2637179022277
60,2348.0259725821757
61,1676.010917167079
62,1153.4319659521434
63,751.6546558570989
64,20.581020338944377
65,20.581020338944377
66,22.370674281461273
67,22.370674281461273
68,22.370674281461273
69,8.94826971258451
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,259.50412096556823
80,1073.257784240313
81,2021.5691398675744
82,2779.257097995437
83,3171.717034023611
84,3173.3189113135218
85,2846.5359441716955
86,2130.496795581517
87,1071.655906950402
88,224.26282058752807
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,797.9742346228829
104,2759.6608947374702
105,4347.2971323725815
106,4912.528881897124
107,5396.023687250225
108,5401.565174990662
109,4782.303919996862
110,4447.043911700442
111,1864.7106246569454
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,743.2339909766249
128,2364.5851786997064
129,3469.801650466798
130,3451.9089803136576
131,3976.3018517249425
132,3630.8356818450675
133,3182.1425687739934
134,1990.2154647262953
135,999.2368100907954
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,122.06343568596743
152,627.948563584477
153,844.9502270261969
154,1561.0557163838726
155,1860.7892640127482
156,1657.3502045361358
157,1136.546212276008
158,832.7438834576002
159,474.69113877876225
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,6.782926824565363
173,48.837073136870615
174,100.38731700356738
175,305.23170710544133
176,1048.6404870778051
177,1717.4370719799497
178,2433.7141446540522
179,3501.3468268406405
180,3687.199021833731
181,3181.1926807211553
182,3018.402436931586
183,1604.8404866921649
184,282.16975590191913
185,283.52634126683216
186,278.09999980717987
187,276.7434144422668
188,256.3946339685707
189,71.89902434039286
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,369.43336252568764
200,1661.7735134855106
201,3227.467287999139
202,4542.812446881807
203,4709.2604453823915
204,5667.351363580878
205,5418.355983710085
206,3992.0454924936944
207,2469.655262305421
208,523.7022391847659
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,451.1790926192587
224,2501.5717498307536
225,3980.264871874009
226,3788.668270898707
227,3903.008177932355
228,3683.599167138058
229,3604.7973393175703
230,2659.175405471727
231,1291.7319227044532
232,216.31874303663088
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,528.7652291413893
248,2377.032747416762
249,4231.729022277441
250,5432.299314583271
251,5809.988763969977
252,6116.961890918323
253,5822.846277140588
254,5342.296722388992
255,3555.1023916740223
256,681.4481980423984
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,872.3908534929216
272,3802.5214710797413
273,6001.335592522867
274,6491.041982401794
275,6893.184978063958
276,6739.138266015951
277,6834.80938191945
278,6098.628252763713
279,3747.3889636099284
280,1.6215443373474379
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,704.0070610450382
296,2923.9652535394603
297,4795.947415860592
298,5375.9074661494105
299,5482.233475369028
300,5754.492498976834
301,5859.207508056759
302,5387.184467127249
303,3801.9603296711443
304,1114.8120966662848
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,440.46918119966085
320,2499.6377461308066
321,4359.948892913121
322,5317.447361299742
323,5189.184326593747
324,5349.264548203555
325,5101.687062608261
326,4859.081012466687
327,2954.0269466008854
328,473.2806551942179
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,585.5936166650089
344,2064.7360761976065
345,3084.3391308268724
346,3770.4569923144854
347,3942.7842691532346
348,4244.357003621046
349,3475.266749581442
350,3006.153607075958
351,1906.7694057620863
352,582.4023707976247
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,368.4145556915118
368,1657.190748678302
369,3218.566722799471
370,4530.284481525294
371,4696.273457166524
372,5651.722195003851
373,5403.413483475506
374,3981.0364076555306
375,2462.8445572784212
376,522.2579965297255
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,956.8668335796303
392,3726.744509731192
393,5663.222040506946
394,6290.302851647418
395,6358.534442496899
396,6348.787072375543
397,6168.460725130487
398,5486.144816635674
399,4404.1867331653275
400,1341.887953373132
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,1332.4294406698857
416,4556.44188012779
417,6802.189292315494
418,7411.067939994041
419,6931.068606074121
420,6828.574033714898
421,6669.250787572345
422,6505.868350445268
423,5463.671065168823
424,1837.7987182430793
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
